# Sorceress / Stormweaver lv100
# main skill: Firestorm
# keys: 806
AbsorptionCharges = 0
AbsorptionChargesMax = 0
AbsorptionChargesMin = 0
Accuracy = 1056
AccuracyHitChance = 100
ActionSpeedMod = 1
ActiveMineLimit = 15
ActiveTrapLimit = 15
AfflictionCharges = 0
AfflictionChargesMax = 0
AfflictionChargesMin = 0
AilmentThreshold = 798
AilmentWarcryEffect = 1
AnyAegis = false
AnyBypass = false
AnyGuard = false
AnySpecificMindOverMatter = false
AnyTakenReflect = false
AreaOfEffectMod = 2.31
AreaOfEffectModSecondary = 2.31
AreaOfEffectRadius = 18
AreaOfEffectRadiusMetres = 1.8
AreaOfEffectRadiusSecondary = 45
AreaOfEffectRadiusSecondaryMetres = 4.5
Armour = 0
ArmourBreakPerHit = 0
ArmourDefense = 0
AttackDodgeChance = 0
AttackDodgeChanceOverCap = 0
AttackTakenHitMult = 1
AverageBurstDamage = 94965.2
AverageBurstHits = 4
AverageDamage = 23741.3
AverageEvadeChance = 3
AverageHit = 23741.3
AverageNotHitChance = 3
AvoidAllDamageFromHitsChance = 0
AvoidChaosDamageChance = 0
AvoidColdDamageChance = 0
AvoidFireDamageChance = 0
AvoidLightningDamageChance = 0
AvoidPhysicalDamageChance = 0
AvoidProjectilesChance = 0
BaseChaosDamageReduction = 0
BaseChaosDamageReductionWhenHit = 0
BaseColdDamageReduction = 0
BaseColdDamageReductionWhenHit = 0
BaseFireDamageReduction = 0
BaseFireDamageReductionWhenHit = 0
BaseLightningDamageReduction = 0
BaseLightningDamageReductionWhenHit = 0
BasePhysicalDamageReduction = 0
BasePhysicalDamageReductionWhenHit = 0
BleedAvoidChance = 0
BleedChanceOnCrit = 0
BleedChanceOnHit = 0
BlindAvoidChance = 0
BlitzCharges = 0
BlitzChargesMax = 0
BlockChance = 0
BlockChanceMax = 50
BlockChanceOverCap = 0
BlockDuration = 0.528
BlockEffect = 100
BloodCharges = 5
BloodChargesMax = 5
BonusCritDotMultiplier = 0
BrittleChance = 0
BrutalCharges = 0
BrutalChargesMax = 0
BrutalChargesMin = 0
CastRate = 1.5714285714286
ChallengerCharges = 0
ChallengerChargesMax = 0
ChaosAegis = 0
ChaosAfterReductionTakenHitMulti = 1
ChaosAttackTakenHitMult = 1
ChaosBaseTakenHitMult = 0.28
ChaosCritAverage = 526.75
ChaosDamageReduction = 0
ChaosDamageReductionMax = 90
ChaosDotEHP = 15735.714285714
ChaosEffectiveAppliedArmour = 0
ChaosEnemyDamage = 391.6163
ChaosEnemyDamageMult = 1
ChaosEnemyOverwhelm = 0
ChaosEnemyPen = 0
ChaosEnergyShieldBypass = 0
ChaosGuardAbsorbRate = 0
ChaosHitAverage = 150.5
